Wavelength (nm),HL1,HL2,HL3
655,0.473236889,0.603742421,0.101745531
656,0.476251483,0.602249801,0.101027273
657,0.478909075,0.600944936,0.100851603
658,0.481817156,0.599610925,0.100591213
659,0.484555423,0.597300232,0.100336783
660,0.487657666,0.595228672,0.10022033
661,0.491014779,0.592836559,0.099815212
662,0.493036747,0.590857148,0.099651426
663,0.496385366,0.588770211,0.099158704
664,0.49834156,0.586319506,0.09877222
665,0.500043452,0.583871663,0.099031523
666,0.501687288,0.581778944,0.098895721
667,0.503089249,0.57936722,0.098456144
668,0.504795313,0.576005757,0.098267287
669,0.505214691,0.573417187,0.097344264
670,0.505551636,0.569963634,0.096926473
671,0.505799294,0.567026496,0.096552767
672,0.505969584,0.563804925,0.096548624
673,0.505808473,0.560823202,0.095950536
674,0.506152332,0.557278872,0.095602632
675,0.505029321,0.553731501,0.095383257
676,0.504179418,0.550028265,0.095037416
677,0.503531694,0.546510518,0.094534874
678,0.502051652,0.542966783,0.094145015
679,0.500409782,0.539338708,0.09441492
680,0.498890281,0.535477221,0.09366098
681,0.496803343,0.530663371,0.093275659
682,0.493053854,0.526755214,0.093150087
683,0.48981905,0.522337139,0.092623644
684,0.486434728,0.518048108,0.092564531
685,0.482335776,0.513696909,0.0922103
686,0.478486359,0.509947479,0.09170527
687,0.474826455,0.505712748,0.09149766
688,0.470945895,0.501680136,0.091367677
689,0.46612072,0.497357518,0.090671755
690,0.461012632,0.493040502,0.090576112
691,0.454600543,0.489008039,0.090434194
692,0.448877394,0.484917224,0.089582823
693,0.442712873,0.480466813,0.089740656
694,0.435613066,0.476459473,0.089159146
695,0.428603381,0.472466558,0.088830292
696,0.422515541,0.469236732,0.088378854
697,0.415904462,0.46555534,0.088453196
698,0.409351289,0.46278739,0.087727077
699,0.40290764,0.45960936,0.087219566
700,0.395436674,0.45567286,0.087267987
701,0.388921619,0.453113079,0.086889081
702,0.382263601,0.450457186,0.08677125
703,0.374471813,0.447054535,0.086417228
704,0.367408484,0.44383505,0.086073689
705,0.360815108,0.44149369,0.086245157
706,0.354269862,0.438666105,0.085873455
707,0.347627878,0.436675966,0.085574061
708,0.340328097,0.434198409,0.085683815
709,0.333469868,0.432298899,0.085630588
710,0.32649526,0.430438072,0.085514046
711,0.319916219,0.428970248,0.085678764
712,0.313421458,0.426990748,0.085694186
713,0.307475567,0.425330132,0.08581917
714,0.300867319,0.423660934,0.08549381
715,0.294462264,0.422060102,0.085916042
716,0.28967005,0.420746803,0.085550673
717,0.285449296,0.419615507,0.08585538
718,0.280319095,0.416520417,0.084065281
719,0.276345909,0.416589707,0.084843077
720,0.271906406,0.415472239,0.084613211
721,0.267561108,0.413986802,0.084417701
722,0.262951165,0.412636399,0.084378719
723,0.258535773,0.411437869,0.084598303
724,0.25438726,0.409955889,0.084112495
725,0.251059145,0.408621281,0.084518105
726,0.248918012,0.407785207,0.083906166
727,0.246583492,0.40641728,0.083828703
728,0.244687378,0.405625552,0.083495893
729,0.241915539,0.404922217,0.083594948
730,0.239119291,0.404390007,0.083398923
731,0.236002281,0.402795643,0.083696097
732,0.234736353,0.402393848,0.083550856
733,0.231487855,0.401238918,0.083512016
734,0.229437932,0.4004215,0.083420195
735,0.228800356,0.399719894,0.08364211
736,0.228036866,0.399288416,0.08360891
737,0.225537315,0.398555845,0.083691008
738,0.22419636,0.398069352,0.083698951
739,0.224044696,0.396895438,0.084156893
740,0.223858327,0.395721614,0.083891936
741,0.223102436,0.394641489,0.084018476
742,0.222391039,0.393811613,0.083583459
743,0.221321791,0.392527044,0.083023444
744,0.220538512,0.391423047,0.082273394
745,0.219278291,0.390754312,0.081728533
746,0.218489289,0.389347613,0.08135324
747,0.218133941,0.387760371,0.080973379
748,0.216531172,0.387125015,0.080407187
749,0.215793744,0.386319399,0.080372922
750,0.214956984,0.38478744,0.079844929
751,0.214220479,0.383581013,0.079447769
752,0.213517472,0.382776201,0.079458058
753,0.212522477,0.381752789,0.078374892
754,0.211214632,0.381472558,0.078522816
755,0.211261481,0.38032189,0.077873386
756,0.210710228,0.37991634,0.078160234
757,0.210409075,0.37924251,0.077598929
758,0.21031782,0.37809059,0.077505656
759,0.210529745,0.377573431,0.077553153
760,0.210041508,0.376336187,0.076836489
761,0.209253639,0.375085533,0.076972201
762,0.209841982,0.374893636,0.07673572
763,0.209542319,0.374331415,0.076639451
764,0.210026339,0.373494208,0.075775489
765,0.209630102,0.37248686,0.075655371
766,0.209541574,0.371955365,0.075335413
767,0.208720028,0.370747775,0.074821167
768,0.208632216,0.370322943,0.074831374
769,0.208278477,0.36958757,0.074812159
770,0.208737403,0.369333893,0.074642189
771,0.208553717,0.368608624,0.074214563
772,0.209048614,0.367270619,0.073677406
773,0.208602637,0.366699427,0.073505431
774,0.208067522,0.364968389,0.073609412
775,0.208935857,0.36452955,0.073357344
776,0.208404616,0.362968415,0.072950296
777,0.209056497,0.36247313,0.07275369
778,0.208683357,0.362084597,0.071803562
779,0.209336162,0.36065957,0.071519576
780,0.209079489,0.359718442,0.071589716
781,0.209435225,0.359176338,0.070989154
782,0.209486961,0.35835281,0.070392564
783,0.208627403,0.358790159,0.070680723
784,0.209418371,0.358256698,0.070324443
785,0.209270194,0.357701182,0.070138
786,0.207581252,0.356419653,0.070062712
787,0.208260626,0.355690152,0.070006289
788,0.207935631,0.354957223,0.069032982
789,0.208005086,0.354012609,0.069485553
790,0.207190156,0.353225201,0.06945952
791,0.207175344,0.35284099,0.069042966
792,0.207182229,0.35125345,0.067857496
793,0.205927521,0.352018565,0.068971805
794,0.207252026,0.350846469,0.068757743
795,0.205915198,0.350559235,0.068207152
796,0.205643252,0.350116462,0.068287723
797,0.206329748,0.34941715,0.068186037
798,0.205324873,0.349510074,0.067969576
799,0.204851583,0.348544926,0.068329439
800,0.203811407,0.346649706,0.067584604
